iter	MAE
0	0.407986977
1	0.4021554688
2	0.3966196765
3	0.3913773353
4	0.386194809
5	0.3813154168
6	0.376496472
7	0.3718347645
8	0.3675331915
9	0.3631181745
10	0.3591049931
11	0.355248196
12	0.3514228804
13	0.3478380687
14	0.3444471381
15	0.341182393
16	0.3380435885
17	0.335017569
18	0.3320334339
19	0.3292154111
20	0.3263940668
21	0.3238238088
22	0.3213640145
23	0.3189827659
24	0.3167127155
25	0.3145230973
26	0.3123093331
27	0.3103105265
28	0.3079149074
29	0.3055360482
30	0.3032443208
31	0.3011357915
32	0.2991328627
33	0.2972771944
34	0.295434542
35	0.2937279574
36	0.2921262513
37	0.2905575233
38	0.2890303133
39	0.2875518686
40	0.2861651163
41	0.2848308565
42	0.2834964029
43	0.2822970837
44	0.2810778995
45	0.2799767008
46	0.2788632164
47	0.2777816216
48	0.276759439
49	0.2758480139
50	0.2749892407
51	0.2740981523
52	0.273251853
53	0.2724547147
54	0.2716750194
55	0.2709189072
56	0.2701737054
57	0.2694740286
58	0.2687742125
59	0.2681184183
60	0.2674491498
61	0.2668673838
62	0.2662567108
63	0.2656985573
64	0.2651282127
65	0.2646311143
66	0.2641163872
67	0.2636061331
68	0.2631428461
69	0.2626793942
70	0.2622256441
71	0.2617715335
72	0.2613330835
73	0.2609384718
74	0.2605287513
75	0.2601231668
76	0.259734966
77	0.2593520735
78	0.2589732965
79	0.2586566027
80	0.2583631107
81	0.2580586503
82	0.2577403271
83	0.2574086951
84	0.25709245
85	0.2567604404
86	0.2564413855
87	0.256137334
88	0.255875872
89	0.2556139181
90	0.2553194631
91	0.2550737405
92	0.2548145835
93	0.2545842644
94	0.2543510967
95	0.2541290448
96	0.2538855478
97	0.253667741
98	0.2534196297
99	0.2532313019
100	0.2530242973
101	0.2528265726
102	0.2526324799
103	0.2524515739
104	0.2522485114
105	0.252094452
106	0.2519263488
107	0.2517607532
108	0.2515783197
109	0.2513228344
110	0.2510920192
111	0.2508737371
112	0.2506844823
113	0.2504202999
114	0.2502190307
115	0.2500682487
116	0.2499366075
117	0.2497822898
118	0.2496522953
119	0.2495216222
120	0.2493996701
121	0.249245418
122	0.2491157199
123	0.2489665431
124	0.2488469578
125	0.2487145942
126	0.2485668516
127	0.248367596
128	0.2482300481
129	0.2481214485
130	0.2479908279
131	0.2478903325
132	0.2478001512
133	0.2477098994
134	0.2476139857
135	0.247491195
136	0.2473945898
137	0.2472814542
138	0.2471742851
139	0.2470747631
140	0.2469754624
141	0.2468766261
142	0.2467316312
143	0.2465913963
144	0.2464869365
145	0.2464036459
146	0.2463195436
147	0.2462359422
148	0.2461288334
149	0.2460287791
150	0.2459382011
151	0.2458541465
152	0.2456785842
153	0.2455683617
154	0.2454954673
155	0.2454027436
156	0.2452646468
157	0.2451901128
158	0.2450650747
159	0.244962537
160	0.244878639
161	0.2447974369
162	0.2447194954
163	0.2446216086
164	0.2445225371
165	0.2444433912
166	0.2443806409
167	0.2443091626
168	0.2442113706
169	0.2440469085
170	0.2439666143
171	0.2439101792
172	0.2438536108
173	0.2437906356
174	0.2437260852
175	0.243657612
176	0.2435935166
177	0.2435246983
178	0.2434313945
179	0.2433559508
180	0.243212721
181	0.2431501949
182	0.2430947945
183	0.2430258397
184	0.2429570764
185	0.2428703495
186	0.2427983028
187	0.2426277777
188	0.2425594795
189	0.2425083121
190	0.2424630606
191	0.2424187355
192	0.2423185344
193	0.2422587028
194	0.2422117338
195	0.2421572393
196	0.2420481478
197	0.2419483834
198	0.2418982294
199	0.2418290464
200	0.2417818083
201	0.2417161941
202	0.2416680468
203	0.241566263
204	0.2415246535
205	0.2414205072
206	0.2413684918
207	0.2412868493
208	0.2412228836
209	0.241174637
210	0.2411303133
211	0.2410625312
212	0.241024425
213	0.2409590985
214	0.2409082445
215	0.2408635477
216	0.2408093762
217	0.2407611365
218	0.2406758436
219	0.240619038
220	0.2405544324
221	0.2404927413
222	0.2404353002
223	0.2403904646
224	0.2403331407
225	0.2402754219
226	0.24022971
227	0.2401253755
228	0.2400741825
229	0.2400157957
230	0.2399338001
231	0.239890619
232	0.2398477338
233	0.2398125592
234	0.2397766927
235	0.2397258034
236	0.239679699
237	0.2396360076
238	0.2395856533
239	0.2395432973
240	0.239488365
241	0.2394471865
242	0.2393981118
243	0.2393524887
244	0.2393134161
245	0.2392668691
246	0.2392231965
247	0.2391295057
248	0.2390984112
249	0.2390428168
250	0.2389993074
251	0.2389515393
252	0.2389169643
253	0.2388709813
254	0.238827831
255	0.2387556882
256	0.2387157081
257	0.2386837849
258	0.2386456664
259	0.2385953504
260	0.2385181211
261	0.2384547146
262	0.2384229873
263	0.2383855343
264	0.2383445913
265	0.2382902058
266	0.2382525738
267	0.238202009
268	0.2381541734
269	0.2381222109
270	0.2380827046
271	0.2380405462
272	0.237993162
273	0.2379415548
274	0.2379090471
275	0.2378590467
276	0.2378137048
277	0.2377804005
278	0.2377355508
279	0.2377035791
280	0.2376129281
281	0.2375600158
282	0.2375215182
283	0.2374692016
284	0.2374248672
285	0.2374027901
286	0.2373587758
287	0.237263464
288	0.2372185578
289	0.2371785531
290	0.2371412986
291	0.2371036596
292	0.236998031
293	0.2369509097
294	0.2369168746
295	0.2368806371
296	0.2368464523
297	0.2368057778
298	0.2367642894
299	0.2367261043
300	0.2366908804
301	0.2366458801
302	0.2366132507
303	0.2365834108
304	0.236509441
305	0.2364750185
306	0.2364415844
307	0.2364139389
308	0.2363824242
309	0.2363538584
310	0.2363114316
311	0.2362817106
312	0.2362285104
313	0.2361783813
314	0.2360983722
315	0.2360388637
316	0.2360072413
317	0.235980082
318	0.2358966533
319	0.2358598895
320	0.2358117867
321	0.2357573921
322	0.2357148738
323	0.2356728278
324	0.2356432999
325	0.2356071384
326	0.2355814109
327	0.2355399655
328	0.2354729961
329	0.2354542164
330	0.2354182501
331	0.2353821954
332	0.235354551
333	0.2353015003
334	0.2352658959
335	0.2352393147
336	0.235188941
337	0.2351607513
338	0.2351335078
339	0.2351094107
340	0.2350661111
341	0.2350259875
342	0.2349981203
343	0.2349300359
344	0.2348914534
345	0.2348605166
346	0.2348118309
347	0.2347805912
348	0.2347594882
349	0.2347220076
350	0.2346885211
351	0.2346447364
352	0.2346045526
353	0.2345669476
354	0.2345277724
355	0.2344979083
356	0.2344692076
357	0.2344379348
358	0.234400259
359	0.2343553946
360	0.234321746
361	0.2342848618
362	0.2342238581
363	0.2341979019
364	0.2341541095
365	0.2341264983
366	0.2341001693
367	0.234049536
368	0.2340209182
369	0.2339794752
370	0.2339422703
371	0.2338856154
372	0.2338575178
373	0.2338188062
374	0.233780639
375	0.2336794895
376	0.2336561775
377	0.2335868384
378	0.2335335541
379	0.2334913091
380	0.2334564979
381	0.2334262397
382	0.2333892091
383	0.2333588154
384	0.2332805537
385	0.233256139
386	0.2332289616
387	0.23316973
388	0.2331225885
389	0.2330888773
390	0.2330282752
391	0.2329630142
392	0.2329115247
393	0.2328790422
394	0.2328364864
395	0.2327672352
396	0.2326968628
397	0.2326516824
398	0.2325930718
399	0.2325633285
400	0.2325145932
401	0.2324877557
402	0.2324505595
403	0.2324064341
404	0.2323594336
405	0.2323171701
406	0.232294976
407	0.2322586205
408	0.2321812825
409	0.2321487166
410	0.2321179866
411	0.2320327642
412	0.2319918866
413	0.2319596564
414	0.2319207148
415	0.2318928188
416	0.2318345226
417	0.2318024937
418	0.2317545272
419	0.2317189962
420	0.2316813706
421	0.2316258557
422	0.2315910264
423	0.2315299652
424	0.2314916896
425	0.2314278568
426	0.2313612868
427	0.2313279744
428	0.2312789752
429	0.2312288588
430	0.2311900648
431	0.2311588211
432	0.2311307704
433	0.231102995
434	0.2310605436
435	0.2310236203
436	0.2309969462
437	0.2309632585
438	0.2309146055
439	0.2308718908
440	0.230812386
441	0.2307732234
442	0.2307417398
443	0.2306942419
444	0.2306669894
445	0.2306373543
446	0.2306062948
447	0.2305688203
448	0.2305225183
449	0.2304736585
450	0.230439753
451	0.2304136911
452	0.2303784879
453	0.230338756
454	0.2303019616
455	0.2302706478
456	0.2302354265
457	0.2301817904
458	0.2301215285
459	0.2300838547
460	0.2300551168
461	0.2300221638
462	0.2299848701
463	0.2299494104
464	0.2299232658
465	0.2298842294
466	0.2298511723
467	0.2298179702
468	0.2297962644
469	0.2297653165
470	0.2297270807
471	0.2296954186
472	0.2296675573
473	0.2296279127
474	0.2295890747
475	0.2295618551
476	0.2295327774
477	0.2295027143
478	0.229480148
479	0.2294528499
480	0.229406786
481	0.2293784795
482	0.2293465448
483	0.2292978671
484	0.2292773488
485	0.2292481941
486	0.2292235331
487	0.2291910338
488	0.2291685707
489	0.2291392977
490	0.2291072044
491	0.2290664266
492	0.229038926
493	0.2289973039
494	0.2289584399
495	0.2289248027
496	0.2289041025
497	0.2288707457
498	0.2288461934
499	0.2288217059
500	0.228789665
501	0.2287624855
502	0.2287363598
503	0.2287077859
504	0.2286841326
505	0.228647674
506	0.2286235002
507	0.2285788428
508	0.2285553874
509	0.228529857
510	0.2284998694
511	0.2284755725
512	0.2284510199
513	0.2284306774
514	0.2283971207
515	0.2283537278
516	0.2283273211
517	0.2283081113
518	0.2282716704
519	0.2282389532
520	0.2281957097
521	0.2281746625
522	0.2281484003
523	0.2281231407
524	0.2280863863
525	0.228062948
526	0.228020099
527	0.2279971034
528	0.2279728825
529	0.2279458983
530	0.2279135068
531	0.2278858556
532	0.2278618729
533	0.2278327069
534	0.2278114824
535	0.2277859632
536	0.2277623812
537	0.2277168561
538	0.2276945237
539	0.2276712071
540	0.2276524328
541	0.2276259168
542	0.2276016225
543	0.2275668503
544	0.2275399247
545	0.2275008871
546	0.2274442482
547	0.2274197372
548	0.2273912643
549	0.2273714937
550	0.2273492165
551	0.2273175934
552	0.2272850657
553	0.2272569923
554	0.2272193131
555	0.2271776344
556	0.227154372
557	0.2271306317
558	0.2271004954
559	0.2270766208
560	0.2270519898
561	0.2270352681
562	0.2270121048
563	0.22699642
564	0.226969798
565	0.2269486567
566	0.2269261475
567	0.2269006085
568	0.2268797058
569	0.2268538045
570	0.226835786
571	0.2268007829
572	0.2267827164
573	0.2267564532
574	0.2267279343
575	0.2267094184
576	0.2266804901
577	0.2266566949
578	0.2266138271
579	0.2265972913
580	0.2265763067
581	0.2265292477
582	0.2265109376
583	0.2264905322
584	0.2264603782
585	0.2264300203
586	0.2263981054
587	0.2263747808
588	0.2263500748
589	0.2263289793
590	0.2263088956
591	0.2262822406
592	0.2262458103
593	0.2262212381
594	0.2261892556
595	0.2261684921
596	0.2261446851
597	0.2261186766
598	0.22608789
599	0.2260683237
600	0.2260470604
601	0.2260234928
602	0.2260036048
603	0.2259864693
604	0.2259574304
605	0.2259363323
606	0.2259128741
607	0.2258876774
608	0.2258536852
609	0.2258296099
610	0.2258145888
611	0.2257925483
612	0.2257702541
613	0.2257518957
614	0.2257272149
615	0.2257023551
616	0.2256827383
617	0.2256601775
618	0.2256279813
619	0.2256001995
620	0.2255809751
621	0.2255567816
622	0.2255330579
623	0.2255078069
624	0.225469581
625	0.225448504
626	0.2254280743
627	0.2254069513
628	0.2253860918
629	0.2253699025
630	0.2253503477
631	0.2253285846
632	0.2253092883
633	0.2252755765
634	0.2252531558
635	0.2252281676
636	0.2252061046
637	0.2251848752
638	0.2251597215
639	0.225143964
640	0.2251154405
641	0.2250961859
642	0.2250593393
643	0.2250335894
644	0.2250070671
645	0.2249808348
646	0.2249501621
647	0.2249183248
648	0.2248866091
649	0.224865433
650	0.2248376344
651	0.2248160047
652	0.2247886472
653	0.2247416589
654	0.2247242518
655	0.2246991243
656	0.224653398
657	0.2246386398
658	0.2246064101
659	0.2245871994
660	0.2245538541
661	0.2245309936
662	0.2245097721
663	0.224489766
664	0.2244695723
665	0.2244527829
666	0.2244321774
667	0.2244159027
668	0.2243950995
669	0.2243751308
670	0.2243504799
671	0.2243281678
672	0.2243087462
673	0.2242758822
674	0.2242478776
675	0.2242320404
676	0.224213625
677	0.2241926566
678	0.2241753733
679	0.2241590952
680	0.2241410439
681	0.2241049354
682	0.2240905721
683	0.224064361
684	0.2240488625
685	0.224031187
686	0.2240089576
687	0.2239780399
688	0.2239540827
689	0.223941632
690	0.2239215856
691	0.2238978472
692	0.223883289
693	0.2238658008
694	0.2238492706
695	0.2238318596
696	0.2238080664
697	0.2237850642
698	0.2237566953
699	0.2237328236
700	0.223718793
701	0.223686856
702	0.2236705445
703	0.223658308
704	0.2236308812
705	0.2236055079
706	0.2235811074
707	0.2235647875
708	0.2235374436
709	0.2235167074
710	0.2235028134
711	0.2234670641
712	0.2234430869
713	0.2234215638
714	0.2234078258
715	0.223388464
716	0.2233685302
717	0.2233466969
718	0.2233299784
719	0.2233169688
720	0.2232993654
721	0.2232829926
722	0.2232656501
723	0.2232500296
724	0.2232315905
725	0.2232104682
726	0.2231802724
727	0.2231593144
728	0.2231270395
729	0.2231028163
730	0.2230827834
731	0.2230674154
732	0.2230361795
733	0.2230176759
734	0.2229940396
735	0.22297183
736	0.2229564931
737	0.2229356191
738	0.2229182379
739	0.2229008676
740	0.2228734094
741	0.2228499387
742	0.2228366656
743	0.2228188262
744	0.2227956215
745	0.2227736717
746	0.2227535877
747	0.2227277337
748	0.2226981139
749	0.2226840004
750	0.2226570718
751	0.2226410916
752	0.2226267121
753	0.2226113161
754	0.2225901418
755	0.2225660952
756	0.2225476661
757	0.2225268048
758	0.2225001086
759	0.2224862902
760	0.222467242
761	0.2224536878
762	0.2224398638
763	0.2224115752
764	0.2223959074
765	0.2223773477
766	0.2223622876
767	0.2223452621
768	0.2223288494
769	0.2223103061
770	0.2222926208
771	0.2222692328
772	0.2222485374
773	0.2222326493
774	0.2222157565
775	0.2221910649
776	0.2221701697
777	0.2221526756
778	0.2221255508
779	0.2221042221
780	0.2220937988
781	0.2220816019
782	0.2220659292
783	0.2220493147
784	0.2220295762
785	0.2220029436
786	0.2219892825
787	0.2219747283
788	0.2219604012
789	0.2219469541
790	0.2219284115
791	0.2219131749
792	0.2218996206
793	0.2218806631
794	0.221868252
795	0.2218534498
796	0.2218346314
797	0.2218153473
798	0.2217975254
799	0.2217815895
800	0.2217623306
801	0.2217525326
802	0.2217341022
803	0.2217102783
804	0.2216884577
805	0.2216681189
806	0.2216516802
807	0.2216342872
808	0.2216144216
809	0.2215983555
810	0.2215827272
811	0.2215664861
812	0.2215544986
813	0.2215424602
814	0.2215241679
815	0.2215098259
816	0.22149513
817	0.2214746365
818	0.2214628833
819	0.2214481525
820	0.2214299314
821	0.2214098543
822	0.221391253
823	0.2213812788
824	0.2213605834
825	0.221342047
826	0.2213235201
827	0.2213080132
828	0.2212891227
829	0.2212736134
830	0.2212642329
831	0.2212506083
832	0.2212345155
833	0.2212193399
834	0.2212024667
835	0.2211825391
836	0.2211620227
837	0.2211415722
838	0.2211241543
839	0.2211046263
840	0.2210892192
841	0.2210753149
842	0.2210579911
843	0.2210493256
844	0.2210359092
845	0.2210182841
846	0.2210052595
847	0.2209920176
848	0.2209836333
849	0.2209663459
850	0.2209490739
851	0.2209327337
852	0.2209187892
853	0.2209062916
854	0.2208854115
855	0.2208668055
856	0.2208433906
857	0.2208301261
858	0.220820243
859	0.2208066289
860	0.220793509
861	0.2207836121
862	0.2207701175
863	0.2207585293
864	0.2207390218
865	0.2207259928
866	0.2207163034
867	0.2207075435
868	0.2206883718
869	0.2206752351
870	0.2206641805
871	0.220628196
872	0.2206189997
873	0.2206031773
874	0.220583318
875	0.2205724521
876	0.220559438
877	0.2205475577
878	0.2205325028
879	0.2205197532
880	0.2205126241
881	0.2205008402
882	0.2204914265
883	0.2204736201
884	0.220461684
885	0.2204497443
886	0.2204328171
887	0.2204176768
888	0.2203933209
889	0.2203725805
890	0.2203587377
891	0.2203431293
892	0.2203319752
893	0.2203224215
894	0.2203129444
895	0.2203030961
896	0.220281858
897	0.2202749709
898	0.2202629625
899	0.2202502602
900	0.2202397749
901	0.2202272121
902	0.2202146418
903	0.2202037244
904	0.2201845264
905	0.2201725688
906	0.2201616347
907	0.2201494405
908	0.220129324
909	0.2201150415
910	0.2201056283
911	0.2200808474
912	0.2200607984
913	0.2200517337
914	0.2200405816
915	0.2200255508
916	0.220014288
917	0.2200068822
918	0.2199920932
919	0.21998544
920	0.2199719689
921	0.2199577498
922	0.2199441773
923	0.2199291325
924	0.2198989218
925	0.2198743172
926	0.2198626661
927	0.219829342
928	0.2198151526
929	0.219799037
930	0.2197892472
931	0.2197764765
932	0.2197618985
933	0.2197484119
934	0.219735122
935	0.219720528
936	0.2197045336
937	0.219682699
938	0.2196673047
939	0.2196532558
940	0.2196359968
941	0.219622934
942	0.219611476
943	0.2196001206
944	0.2195835776
945	0.2195727046
946	0.2195597141
947	0.2195478374
948	0.2195336017
949	0.2195125708
950	0.2195029268
951	0.2194900419
952	0.2194746951
953	0.2194581315
954	0.2194457766
955	0.2194363027
956	0.21942431
957	0.2194055473
958	0.2193905343
959	0.2193784542
960	0.2193629422
961	0.2193371025
962	0.2193243919
963	0.2193100251
964	0.2192872084
