skill,counter
Терпеливость,585
Опрятный внешний вид,583
B2C продажи,581
Социальные сети,579
Государственные закупки,573
Figma,565
Строительный контроль,564
Бумажный документооборот,560
Работа с юридическими лицами,558
Административная поддержка руководителя,556
Пожарная безопасность,556
Экономический анализ,556
Контроль отгрузок,554
Написание статей,554
Кассовые документы,553
UML,552
Организация рабочего процесса,551
Разработка инструкций,550
Администрирование сетевого оборудования,550
1C: Бухгалтерия,548
Bash,547
Внимательность,542
Навыки работы с возражениями,542
Обучение,541
